,RANKS,,,,,,
SUITS,code,index,name en,,,,
"Spades
s",A,A,Ace,,,,
,2,2,Two,,,,
,3,3,Three,,,,
,4,4,Four,,,,
,5,5,Five,,,,
,6,6,Six,,,,
,7,7,Seven,,,,
,8,8,Eight,,,,
,9,9,Nine,,,,
,T,10,Ten,,,,
,J,J,Jack,,,,
,C,C,Knight,,,,
,Q,Q,Queen,,,,
,K,K,King,,,,
"Hearts
h",A,A,Ace,,,,
,2,2,Two,,,,
,3,3,Three,,,,
,4,4,Four,,,,
,5,5,Five,,,,
,6,6,Six,,,,
,7,7,Seven,,,,
,8,8,Eight,,,,
,9,9,Nine,,,,
,T,10,Ten,,,,
,J,J,Jack,,,,
,C,C,Knight,,,,
,Q,Q,Queen,,,,
,K,K,King,,,,
"Diamonds
d",A,A,Ace,,,,
,2,2,Two,,,,
,3,3,Three,,,,
,4,4,Four,,,,
,5,5,Five,,,,
,6,6,Six,,,,
,7,7,Seven,,,,
,8,8,Eight,,,,
,9,9,Nine,,,,
,T,10,Ten,,,,
,J,J,Jack,,,,
,C,C,Knight,,,,
,Q,Q,Queen,,,,
,K,K,King,,,,
"Clubs
c",A,A,Ace,,,,
,2,2,Two,,,,
,3,3,Three,,,,
,4,4,Four,,,,
,5,5,Five,,,,
,6,6,Six,,,,
,7,7,Seven,,,,
,8,8,Eight,,,,
,9,9,Nine,,,,
,T,10,Ten,,,,
,J,J,Jack,,,,
,C,C,Knight,,,,
,Q,Q,Queen,,,,
,K,K,King,,,,
"Trumps
t",00,0,Fool,,,,
,01,1,,,,,
,02,2,,,,,
,03,3,,,,,
,04,4,,,,,
,05,5,,,,,
,06,6,,,,,
,07,7,,,,,
,08,8,,,,,
,09,9,,,,,
,10,10,,,,,
,11,11,,,,,
,12,12,,,,,
,13,13,,,,,
,14,14,,,,,
,15,15,,,,,
,16,16,,,,,
,17,17,,,,,
,18,18,,,,,
,19,19,,,,,
,20,20,,,,,
,21,21,,,,,
"Jokers
j",B,★,Black,,,,
,R,★,Red,,,,
,W,☆,White,,,,